J,SIGMA/J,ALPHA(2),ALPHA(4)
1.5,0.1,1.00000e+00,0.00000e+00
1.5,0.2,9.99970e-01,0.00000e+00
1.5,0.3,9.85768e-01,0.00000e+00
1.5,0.4,8.82926e-01,0.00000e+00
1.5,0.5,7.10844e-01,0.00000e+00
1.5,0.6,5.49234e-01,0.00000e+00
1.5,0.7,4.24784e-01,0.00000e+00
1.5,0.8,3.33910e-01,0.00000e+00
1.5,0.9,2.67666e-01,0.00000e+00
1.5,1.0,2.18635e-01,0.00000e+00
1.5,1.1,1.81617e-01,0.00000e+00
1.5,1.2,1.53107e-01,0.00000e+00
1.5,1.3,1.30740e-01,0.00000e+00
1.5,1.4,1.12895e-01,0.00000e+00
1.5,1.5,9.84455e-02,0.00000e+00
1.5,1.6,8.65882e-02,0.00000e+00
1.5,1.7,7.67423e-02,0.00000e+00
1.5,1.8,6.84798e-02,0.00000e+00
1.5,1.9,6.14798e-02,0.00000e+00
1.5,2.0,5.54985e-02,0.00000e+00
2.5,0.1,1.00000e+00,1.00000e+00
2.5,0.2,9.86497e-01,9.55032e-01
2.5,0.3,8.82759e-01,6.37986e-01
2.5,0.4,7.26360e-01,3.33699e-01
2.5,0.5,5.66679e-01,1.68687e-01
2.5,0.6,4.36166e-01,8.92640e-02
2.5,0.7,3.39086e-01,5.03598e-02
2.5,0.8,2.68413e-01,3.01986e-02
2.5,0.9,2.16575e-01,1.90904e-02
2.5,1.0,1.77891e-01,1.26171e-02
2.5,1.1,1.48453e-01,8.65644e-03
2.5,1.2,1.25622e-01,6.12961e-03
2.5,1.3,1.07602e-01,4.45874e-03
2.5,1.4,9.31529e-02,3.31924e-03
2.5,1.5,8.14024e-02,2.52106e-03
2.5,1.6,7.17251e-02,1.94874e-03
2.5,1.7,6.36648e-02,1.52984e-03
2.5,1.8,5.68828e-02,1.21761e-03
2.5,1.9,5.11241e-02,9.81075e-04
2.5,2.0,4.61939e-02,7.99260e-04
3.5,0.1,9.99886e-01,9.99620e-01
3.5,0.2,9.51761e-01,8.42250e-01
3.5,0.3,8.29804e-01,5.24980e-01
3.5,0.4,6.71483e-01,2.81023e-01
3.5,0.5,5.18530e-01,1.46048e-01
3.5,0.6,3.97577e-01,7.89928e-02
3.5,0.7,3.08854e-01,4.52941e-02
3.5,0.8,2.44583e-01,2.74871e-02
3.5,0.9,1.97500e-01,1.75310e-02
3.5,1.0,1.62356e-01,1.16644e-02
3.5,1.1,1.35591e-01,8.04404e-03
3.5,1.2,1.14814e-01,5.71894e-03
3.5,1.3,9.84003e-02,4.17333e-03
3.5,1.4,8.52284e-02,3.11480e-03
3.5,1.5,7.45084e-02,2.37077e-03
3.5,1.6,6.56740e-02,1.83576e-03
3.5,1.7,5.83114e-02,1.44325e-03
3.5,1.8,5.21133e-02,1.15010e-03
3.5,1.9,4.68481e-02,9.27652e-04
3.5,2.0,4.23386e-02,7.56415e-04
4.5,0.1,9.98221e-01,9.94069e-01
4.5,0.2,9.29999e-01,7.78369e-01
4.5,0.3,8.03988e-01,4.81781e-01
4.5,0.4,6.44133e-01,2.58053e-01
4.5,0.5,4.94265e-01,1.34744e-01
4.5,0.6,3.77874e-01,7.32743e-02
4.5,0.7,2.93213e-01,4.22138e-02
4.5,0.8,2.32113e-01,2.57146e-02
4.5,0.9,1.87423e-01,1.64489e-02
4.5,1.0,1.54086e-01,1.09695e-02
4.5,1.1,1.28702e-01,7.57850e-03
4.5,1.2,1.08996e-01,5.39569e-03
4.5,1.3,9.34265e-02,3.94199e-03
4.5,1.4,8.09303e-02,2.94489e-03
4.5,1.5,7.07588e-02,2.24318e-03
4.5,1.6,6.23750e-02,1.73808e-03
4.5,1.7,5.53869e-02,1.36719e-03
4.5,1.8,4.95034e-02,1.08999e-03
4.5,1.9,4.45048e-02,8.79507e-04
4.5,2.0,4.02232e-02,7.17398e-04
5.5,0.1,9.93912e-01,9.79718e-01
5.5,0.2,9.17714e-01,7.45816e-01
5.5,0.3,7.88848e-01,4.58629e-01
