J,SIGMA/J,ALPHA(2),ALPHA(4)
5.5,0.4,6.27755e-01,2.44820e-01
5.5,0.5,4.79604e-01,1.27843e-01
5.5,0.6,3.65874e-01,6.96232e-02
5.5,0.7,2.83619e-01,4.01768e-02
5.5,0.8,2.24417e-01,2.45097e-02
5.5,0.9,1.81174e-01,1.56971e-02
5.5,1.0,1.48937e-01,1.04784e-02
5.5,1.1,1.24398e-01,7.24486e-03
5.5,1.2,1.05352e-01,5.16140e-03
5.5,1.3,9.03052e-02,3.77275e-03
5.5,1.4,7.82284e-02,2.81965e-03
5.5,1.5,6.83982e-02,2.14853e-03
5.5,1.6,6.02956e-02,1.66522e-03
5.5,1.7,5.35417e-02,1.31020e-03
5.5,1.8,4.78552e-02,1.04477e-03
5.5,1.9,4.30239e-02,8.43174e-04
5.5,2.0,3.88854e-02,6.87868e-04
6.5,0.1,9.89008e-01,9.63459e-01
6.5,0.2,9.10000e-01,7.26497e-01
6.5,0.3,7.78940e-01,4.44096e-01
6.5,0.4,6.16853e-01,2.36136e-01
6.5,0.5,4.69775e-01,1.23167e-01
6.5,0.6,3.57786e-01,6.70880e-02
6.5,0.7,2.77124e-01,3.87359e-02
6.5,0.8,2.19187e-01,2.36452e-02
6.5,0.9,1.76914e-01,1.51518e-02
6.5,1.0,1.45418e-01,1.01190e-02
6.5,1.1,1.21452e-01,6.99904e-03
6.5,1.2,1.02854e-01,4.98782e-03
6.5,1.3,8.81623e-02,3.64681e-03
6.5,1.4,7.63715e-02,2.72610e-03
6.5,1.5,6.67744e-02,2.07761e-03
6.5,1.6,5.88642e-02,1.61050e-03
6.5,1.7,5.22708e-02,1.26731e-03
6.5,1.8,4.67194e-02,1.01068e-03
6.5,1.9,4.20029e-02,8.15731e-04
6.5,2.0,3.79628e-02,6.65532e-04
7.5,0.1,9.85101e-01,9.50649e-01
7.5,0.2,9.04762e-01,7.13789e-01
7.5,0.3,7.71969e-01,4.34094e-01
7.5,0.4,6.09073e-01,2.29974e-01
7.5,0.5,4.62724e-01,1.19780e-01
7.5,0.6,3.51961e-01,6.52241e-02
7.5,0.7,2.72430e-01,3.76646e-02
7.5,0.8,2.15399e-01,2.29969e-02
7.5,0.9,1.73822e-01,1.47401e-02
7.5,1.0,1.42861e-01,9.84630e-03
7.5,1.1,1.19308e-01,6.81175e-03
7.5,1.2,1.01034e-01,4.85515e-03
7.5,1.3,8.65995e-02,3.55029e-03
7.5,1.4,7.50164e-02,2.65426e-03
7.5,1.5,6.55888e-02,2.02305e-03
7.5,1.6,5.78185e-02,1.56834e-03
7.5,1.7,5.13419e-02,1.23422e-03
7.5,1.8,4.58890e-02,9.84345e-04
7.5,1.9,4.12562e-02,7.94520e-04
7.5,2.0,3.72879e-02,6.48255e-04
8.5,0.1,9.82280e-01,9.41544e-01
8.5,0.2,9.01000e-01,7.04836e-01
8.5,0.3,7.66806e-01,4.26777e-01
8.5,0.4,6.03244e-01,2.25364e-01
8.5,0.5,4.57416e-01,1.17210e-01
8.5,0.6,3.47564e-01,6.37957e-02
8.5,0.7,2.68879e-01,3.68374e-02
8.5,0.8,2.12527e-01,2.24935e-02
8.5,0.9,1.71475e-01,1.44190e-02
8.5,1.0,1.40917e-01,9.63291e-03
8.5,1.1,1.17677e-01,6.66481e-03
8.5,1.2,9.96477e-02,4.75084e-03
8.5,1.3,8.54091e-02,3.47428e-03
8.5,1.4,7.39836e-02,2.59760e-03
8.5,1.5,6.46848e-02,1.97998e-03
8.5,1.6,5.70210e-02,1.53502e-03
8.5,1.7,5.06333e-02,1.20804e-03
8.5,1.8,4.52554e-02,9.63504e-04
8.5,1.9,4.06864e-02,7.77721e-04
8.5,2.0,3.67726e-02,6.34566e-04
9.5,0.1,9.80227e-01,9.35011e-01
9.5,0.2,8.98182e-01,6.98210e-01
9.5,0.3,7.62833e-01,4.21188e-01
9.5,0.4,5.98713e-01,2.21782e-01
9.5,0.5,4.53276e-01,1.15193e-01
9.5,0.6,3.44126e-01,6.26660e-02
9.5,0.7,2.66098e-01,3.61797e-02
9.5,0.8,2.10275e-01,2.20916e-02
9.5,0.9,1.69632e-01,1.41619e-02
9.5,1.0,1.39389e-01,9.46163e-03
9.5,1.1,1.16394e-01,6.54665e-03
9.5,1.2,9.85573e-02,4.66683e-03
9.5,1.3,8.44721e-02,3.41300e-03
9.5,1.4,7.31704e-02,2.55187e-03
9.5,1.5,6.39728e-02,1.94519e-03
9.5,1.6,5.63927e-02,1.50809e-03
9.5,1.7,5.00749e-02,1.18687e-03
9.5,1.8,4.47559e-02,9.46642e-04
9.5,1.9,4.02371e-02,7.64124e-04
9.5,2.0,3.63664e-02,6.23482e-04
10.5,0.1,9.78687e-01,9.30166e-01
10.5,0.2,8.96000e-01,6.93121e-01
10.5,0.3,7.59683e-01,4.16777e-01
10.5,0.4,5.95091e-01,2.18916e-01
10.5,0.5,4.49956e-01,1.13566e-01
10.5,0.6,3.41363e-01,6.17500e-02
10.5,0.7,2.63861e-01,3.56443e-02
10.5,0.8,2.08461e-01,2.17635e-02
10.5,0.9,1.68146e-01,1.39515e-02
10.5,1.0,1.38157e-01,9.32124e-03
10.5,1.1,1.15359e-01,6.44966e-03
10.5,1.2,9.76769e-02,4.59781e-03
10.5,1.3,8.37152e-02,3.36259e-03
10.5,1.4,7.25133e-02,2.51424e-03
10.5,1.5,6.33974e-02,1.91654e-03
10.5,1.6,5.58848e-02,1.48590e-03
10.5,1.7,4.96235e-02,1.16943e-03
10.5,1.8,4.43521e-02,9.32739e-04
10.5,1.9,3.98738e-02,7.52910e-04
10.5,2.0,3.60379e-02,6.14338e-04
11.5,0.1,9.77500e-01,9.26459e-01
11.5,0.2,8.94266e-01,6.89096e-01
11.5,0.3,7.57127e-01,4.13205e-01
11.5,0.4,5.92128e-01,2.16569e-01
11.5,0.5,4.47234e-01,1.12225e-01
11.5,0.6,3.39096e-01,6.09924e-02
11.5,0.7,2.62021e-01,3.52001e-02
11.5,0.8,2.06969e-01,2.14906e-02
11.5,0.9,1.66923e-01,1.37763e-02
11.5,1.0,1.37142e-01,9.20413e-03
11.5,1.1,1.14505e-01,6.36868e-03
11.5,1.2,9.69511e-02,4.54012e-03
11.5,1.3,8.30911e-02,3.32044e-03
11.5,1.4,7.19714e-02,2.48275e-03
11.5,1.5,6.29227e-02,1.89255e-03
11.5,1.6,5.54657e-02,1.46732e-03
11.5,1.7,4.92509e-02,1.15482e-03
11.5,1.8,4.40189e-02,9.21091e-04
11.5,1.9,3.95740e-02,7.43513e-04
11.5,2.0,3.57667e-02,6.06673e-04
12.5,0.1,9.76562e-01,9.23550e-01
12.5,0.2,8.92858e-01,6.85838e-01
12.5,0.3,7.55010e-01,4.10253e-01
12.5,0.4,5.89661e-01,2.14612e-01
12.5,0.5,4.44961e-01,1.11102e-01
12.5,0.6,3.37200e-01,6.03552e-02
12.5,0.7,2.60482e-01,3.48256e-02
12.5,0.8,2.05719e-01,2.12602e-02
12.5,0.9,1.65899e-01,1.36281e-02
12.5,1.0,1.36291e-01,9.10499e-03
12.5,1.1,1.13790e-01,6.30006e-03
12.5,1.2,9.63425e-02,4.49122e-03
12.5,1.3,8.25676e-02,3.28469e-03
12.5,1.4,7.15167e-02,2.45603e-03
12.5,1.5,6.25244e-02,1.87220e-03
12.5,1.6,5.51141e-02,1.45154e-03
12.5,1.7,4.89383e-02,1.14241e-03
12.5,1.8,4.37391e-02,9.11196e-04
12.5,1.9,3.93223e-02,7.35528e-04
12.5,2.0,3.55391e-02,6.00160e-04
13.5,0.1,9.75808e-01,9.21220e-01
13.5,0.2,8.91693e-01,6.83151e-01
13.5,0.3,7.53230e-01,4.07773e-01
13.5,0.4,5.87574e-01,2.12954e-01
13.5,0.5,4.43036e-01,1.10147e-01
13.5,0.6,3.35592e-01,5.98118e-02
13.5,0.7,2.59176e-01,3.45056e-02
13.5,0.8,2.04658e-01,2.10630e-02
13.5,0.9,1.65028e-01,1.35011e-02
13.5,1.0,1.35568e-01,9.02000e-03
13.5,1.1,1.13182e-01,6.24120e-03
13.5,1.2,9.58248e-02,4.44925e-03
13.5,1.3,8.21222e-02,3.25399e-03
13.5,1.4,7.11298e-02,2.43308e-03
13.5,1.5,6.21854e-02,1.85470e-03
13.5,1.6,5.48148e-02,1.43798e-03
13.5,1.7,4.86722e-02,1.13174e-03
13.5,1.8,4.35010e-02,9.02689e-04
13.5,1.9,3.91080e-02,7.28662e-04
13.5,2.0,3.53453e-02,5.94559e-04
14.5,0.1,9.75190e-01,9.19318e-01
14.5,0.2,8.90715e-01,6.80897e-01
14.5,0.3,7.51713e-01,4.05658e-01
14.5,0.4,5.85785e-01,2.11532e-01
14.5,0.5,4.41383e-01,1.09324e-01
14.5,0.6,3.34210e-01,5.93430e-02
14.5,0.7,2.58053e-01,3.42291e-02
14.5,0.8,2.03745e-01,2.08924e-02
14.5,0.9,1.64279e-01,1.33912e-02
14.5,1.0,1.34945e-01,8.94634e-03
14.5,1.1,1.12658e-01,6.19016e-03
14.5,1.2,9.53789e-02,4.41283e-03
14.5,1.3,8.17386e-02,3.22735e-03
14.5,1.4,7.07966e-02,2.41316e-03
14.5,1.5,6.18934e-02,1.83952e-03
14.5,1.6,5.45569e-02,1.42621e-03
14.5,1.7,4.84429e-02,1.12247e-03
14.5,1.8,4.32959e-02,8.95299e-04
14.5,1.9,3.89234e-02,7.22698e-04
14.5,2.0,3.51783e-02,5.89693e-04
15.5,0.1,9.74676e-01,9.17744e-01
15.5,0.2,8.89883e-01,6.78981e-01
15.5,0.3,7.50404e-01,4.03834e-01
15.5,0.4,5.84236e-01,2.10298e-01
15.5,0.5,4.39949e-01,1.08608e-01
15.5,0.6,3.33010e-01,5.89344e-02
15.5,0.7,2.57077e-01,3.39878e-02
15.5,0.8,2.02951e-01,2.07434e-02
15.5,0.9,1.63627e-01,1.32951e-02
15.5,1.0,1.34404e-01,8.88190e-03
15.5,1.1,1.12202e-01,6.14549e-03
15.5,1.2,9.49910e-02,4.38095e-03
15.5,1.3,8.14048e-02,3.20402e-03
15.5,1.4,7.05066e-02,2.39571e-03
15.5,1.5,6.16393e-02,1.82621e-03
15.5,1.6,5.43325e-02,1.41589e-03
15.5,1.7,4.82433e-02,1.11435e-03
15.5,1.8,4.31173e-02,8.88821e-04
15.5,1.9,3.87627e-02,7.17469e-04
15.5,2.0,3.50329e-02,5.85427e-04
16.5,0.1,9.74245e-01,9.16422e-01
16.5,0.2,8.89167e-01,6.77334e-01
16.5,0.3,7.49263e-01,4.02245e-01
16.5,0.4,5.82880e-01,2.09217e-01
16.5,0.5,4.38693e-01,1.07980e-01
16.5,0.6,3.31959e-01,5.85750e-02
16.5,0.7,2.56221e-01,3.37753e-02
16.5,0.8,2.02255e-01,2.06120e-02
16.5,0.9,1.63056e-01,1.32103e-02
16.5,1.0,1.33929e-01,8.82506e-03
16.5,1.1,1.11802e-01,6.10606e-03
16.5,1.2,9.46504e-02,4.35281e-03
16.5,1.3,8.11117e-02,3.18342e-03
16.5,1.4,7.02519e-02,2.38029e-03
16.5,1.5,6.14161e-02,1.81446e-03
16.5,1.6,5.41353e-02,1.40678e-03
16.5,1.7,4.80680e-02,1.10718e-03
16.5,1.8,4.29604e-02,8.83098e-04
16.5,1.9,3.86215e-02,7.12849e-04
16.5,2.0,3.49052e-02,5.81657e-04
17.5,0.1,9.73878e-01,9.15301e-01
17.5,0.2,8.88546e-01,6.75903e-01
17.5,0.3,7.48261e-01,4.00847e-01
17.5,0.4,5.81685e-01,2.08263e-01
17.5,0.5,4.37584e-01,1.07424e-01
17.5,0.6,3.31029e-01,5.82565e-02
17.5,0.7,2.55464e-01,3.35868e-02
17.5,0.8,2.01639e-01,2.04954e-02
17.5,0.9,1.62550e-01,1.31350e-02
17.5,1.0,1.33508e-01,8.77454e-03
17.5,1.1,1.11448e-01,6.07102e-03
17.5,1.2,9.43490e-02,4.32778e-03
17.5,1.3,8.08522e-02,3.16510e-03
17.5,1.4,7.00265e-02,2.36658e-03
17.5,1.5,6.12185e-02,1.80400e-03
17.5,1.6,5.39608e-02,1.39867e-03
17.5,1.7,4.79127e-02,1.10079e-03
17.5,1.8,4.28214e-02,8.78005e-04
17.5,1.9,3.84964e-02,7.08737e-04
17.5,2.0,3.47921e-02,5.78301e-04
18.5,0.1,9.73563e-01,9.14339e-01
18.5,0.2,8.88001e-01,6.74649e-01
18.5,0.3,7.47373e-01,3.99609e-01
18.5,0.4,5.80622e-01,2.07414e-01
18.5,0.5,4.36597e-01,1.06928e-01
18.5,0.6,3.30202e-01,5.79722e-02
18.5,0.7,2.54791e-01,3.34184e-02
18.5,0.8,2.01091e-01,2.03912e-02
18.5,0.9,1.62099e-01,1.30677e-02
18.5,1.0,1.33134e-01,8.72935e-03
18.5,1.1,1.11133e-01,6.03966e-03
18.5,1.2,9.40803e-02,4.30539e-03
18.5,1.3,8.06210e-02,3.14870e-03
18.5,1.4,6.98255e-02,2.35431e-03
18.5,1.5,6.10423e-02,1.79464e-03
18.5,1.6,5.38052e-02,1.39140e-03
18.5,1.7,4.77743e-02,1.09507e-03
18.5,1.8,4.26976e-02,8.73443e-04
18.5,1.9,3.83850e-02,7.05054e-04
18.5,2.0,3.46913e-02,5.75296e-04
19.5,0.1,9.73289e-01,9.13507e-01
19.5,0.2,8.87520e-01,6.73541e-01
19.5,0.3,7.46581e-01,3.98504e-01
19.5,0.4,5.79672e-01,2.06653e-01
19.5,0.5,4.35713e-01,1.06484e-01
19.5,0.6,3.29461e-01,5.77170e-02
19.5,0.7,2.54187e-01,3.32671e-02
19.5,0.8,2.00599e-01,2.02975e-02
19.5,0.9,1.61695e-01,1.30071e-02
19.5,1.0,1.32798e-01,8.68869e-03
19.5,1.1,1.10850e-01,6.01144e-03
19.5,1.2,9.38394e-02,4.28523e-03
19.5,1.3,8.04135e-02,3.13393e-03
19.5,1.4,6.96452e-02,2.34326e-03
19.5,1.5,6.08843e-02,1.78621e-03
19.5,1.6,5.36656e-02,1.38486e-03
19.5,1.7,4.76502e-02,1.08993e-03
19.5,1.8,4.25865e-02,8.69335e-04
19.5,1.9,3.82850e-02,7.01737e-04
19.5,2.0,3.46008e-02,5.72589e-04
20.5,0.1,9.73051e-01,9.12782e-01
20.5,0.2,8.87092e-01,6.72556e-01
20.5,0.3,7.45870e-01,3.97511e-01
20.5,0.4,5.78816e-01,2.05968e-01
20.5,0.5,4.34917e-01,1.06083e-01
20.5,0.6,3.28794e-01,5.74866e-02
20.5,0.7,2.53643e-01,3.31304e-02
20.5,0.8,2.00156e-01,2.02128e-02
20.5,0.9,1.61331e-01,1.29524e-02
20.5,1.0,1.32495e-01,8.65192e-03
20.5,1.1,1.10595e-01,5.98591e-03
20.5,1.2,9.36220e-02,4.26699e-03
20.5,1.3,8.02264e-02,3.12057e-03
20.5,1.4,6.94826e-02,2.33326e-03
20.5,1.5,6.07417e-02,1.77858e-03
20.5,1.6,5.35397e-02,1.37895e-03
20.5,1.7,4.75382e-02,1.08526e-03
20.5,1.8,4.24862e-02,8.65616e-04
20.5,1.9,3.81947e-02,6.98734e-04
20.5,2.0,3.45191e-02,5.70138e-04
21.5,0.1,9.72842e-01,9.12145e-01
21.5,0.2,8.86709e-01,6.71674e-01
21.5,0.3,7.45229e-01,3.96615e-01
21.5,0.4,5.78042e-01,2.05348e-01
21.5,0.5,4.34197e-01,1.05719e-01
21.5,0.6,3.28189e-01,5.72775e-02
21.5,0.7,2.53150e-01,3.30063e-02
21.5,0.8,1.99754e-01,2.01359e-02
21.5,0.9,1.61001e-01,1.29026e-02
21.5,1.0,1.32220e-01,8.61850e-03
21.5,1.1,1.10364e-01,5.96271e-03
21.5,1.2,9.34250e-02,4.25040e-03
21.5,1.3,8.00568e-02,3.10842e-03
21.5,1.4,6.93351e-02,2.32416e-03
21.5,1.5,6.06124e-02,1.77164e-03
21.5,1.6,5.34255e-02,1.37356e-03
21.5,1.7,4.74366e-02,1.08102e-03
21.5,1.8,4.23953e-02,8.62233e-04
21.5,1.9,3.81129e-02,6.96002e-04
21.5,2.0,3.44451e-02,5.67908e-04
22.5,0.1,9.72656e-01,9.11581e-01
22.5,0.2,8.86365e-01,6.70880e-01
22.5,0.3,7.44647e-01,3.95803e-01
22.5,0.4,5.77339e-01,2.04784e-01
22.5,0.5,4.33542e-01,1.05388e-01
22.5,0.6,3.27639e-01,5.70869e-02
22.5,0.7,2.52701e-01,3.28931e-02
22.5,0.8,1.99389e-01,2.00657e-02
22.5,0.9,1.60700e-01,1.28572e-02
22.5,1.0,1.31970e-01,8.58800e-03
22.5,1.1,1.10153e-01,5.94152e-03
22.5,1.2,9.32455e-02,4.23526e-03
22.5,1.3,7.99023e-02,3.09733e-03
22.5,1.4,6.92008e-02,2.31586e-03
22.5,1.5,6.04947e-02,1.76530e-03
22.5,1.6,5.33215e-02,1.36864e-03
22.5,1.7,4.73441e-02,1.07715e-03
22.5,1.8,4.23125e-02,8.59143e-04
22.5,1.9,3.80383e-02,6.93507e-04
22.5,2.0,3.43777e-02,5.65871e-04
23.5,0.1,9.72491e-01,9.11080e-01
23.5,0.2,8.86053e-01,6.70161e-01
23.5,0.3,7.44117e-01,3.95062e-01
23.5,0.4,5.76697e-01,2.04268e-01
23.5,0.5,4.32943e-01,1.05085e-01
23.5,0.6,3.27136e-01,5.69125e-02
23.5,0.7,2.52291e-01,3.27895e-02
23.5,0.8,1.99054e-01,2.00014e-02
23.5,0.9,1.60425e-01,1.28156e-02
23.5,1.0,1.31741e-01,8.56004e-03
23.5,1.1,1.09960e-01,5.92210e-03
23.5,1.2,9.30814e-02,4.22138e-03
23.5,1.3,7.97609e-02,3.08716e-03
23.5,1.4,6.90780e-02,2.30824e-03
23.5,1.5,6.03870e-02,1.75949e-03
23.5,1.6,5.32263e-02,1.36413e-03
23.5,1.7,4.72594e-02,1.07360e-03
23.5,1.8,4.22367e-02,8.56309e-04
23.5,1.9,3.79702e-02,6.91219e-04
23.5,2.0,3.43160e-02,5.64003e-04
24.5,0.1,9.72344e-01,9.10632e-01
24.5,0.2,8.85770e-01,6.69508e-01
24.5,0.3,7.43633e-01,3.94383e-01
24.5,0.4,5.76109e-01,2.03795e-01
24.5,0.5,4.32394e-01,1.04807e-01
24.5,0.6,3.26675e-01,5.67522e-02
24.5,0.7,2.51914e-01,3.26942e-02
24.5,0.8,1.98748e-01,1.99423e-02
24.5,0.9,1.60173e-01,1.27774e-02
24.5,1.0,1.31531e-01,8.53433e-03
24.5,1.1,1.09784e-01,5.90424e-03
24.5,1.2,9.29307e-02,4.20861e-03
24.5,1.3,7.96312e-02,3.07780e-03
24.5,1.4,6.89652e-02,2.30123e-03
24.5,1.5,6.02881e-02,1.75414e-03
24.5,1.6,5.31390e-02,1.35999e-03
24.5,1.7,4.71817e-02,1.07033e-03
24.5,1.8,4.21672e-02,8.53701e-04
24.5,1.9,3.79075e-02,6.89113e-04
24.5,2.0,3.42593e-02,5.62284e-04
25.5,0.1,9.72211e-01,9.10229e-01
25.5,0.2,8.85512e-01,6.68912e-01
25.5,0.3,7.43188e-01,3.93760e-01
25.5,0.4,5.75567e-01,2.03360e-01
25.5,0.5,4.31889e-01,1.04551e-01
25.5,0.6,3.26250e-01,5.66045e-02
25.5,0.7,2.51568e-01,3.26064e-02
25.5,0.8,1.98465e-01,1.98878e-02
25.5,0.9,1.59941e-01,1.27421e-02
25.5,1.0,1.31338e-01,8.51060e-03
25.5,1.1,1.09621e-01,5.88775e-03
25.5,1.2,9.27919e-02,4.19683e-03
25.5,1.3,7.95117e-02,3.06916e-03
25.5,1.4,6.88613e-02,2.29477e-03
25.5,1.5,6.01970e-02,1.74921e-03
25.5,1.6,5.30585e-02,1.35615e-03
25.5,1.7,4.71101e-02,1.06732e-03
25.5,1.8,4.21031e-02,8.51293e-04
25.5,1.9,3.78499e-02,6.87168e-04
25.5,2.0,3.42071e-02,5.60697e-04
