J,SIGMA/J,ALPHA(2),ALPHA(4)
7,0.7,2.70924e-01,3.64322e-02
7,0.8,2.14245e-01,2.22424e-02
7,0.9,1.72907e-01,1.42550e-02
7,1.0,1.42117e-01,9.52135e-03
7,1.1,1.18691e-01,6.58641e-03
7,1.2,1.00513e-01,4.69421e-03
7,1.3,8.61547e-02,3.43241e-03
7,1.4,7.46318e-02,2.56600e-03
7,1.5,6.52530e-02,1.95570e-03
7,1.6,5.75228e-02,1.51607e-03
7,1.7,5.10795e-02,1.19305e-03
7,1.8,4.56546e-02,9.51487e-04
7,1.9,4.10455e-02,7.67981e-04
7,2.0,3.70975e-02,6.26590e-04
8,0.1,9.73338e-01,9.12492e-01
8,0.2,8.93334e-01,6.84029e-01
8,0.3,7.61195e-01,4.15049e-01
8,0.4,5.99652e-01,2.19516e-01
8,0.5,4.55105e-01,1.14250e-01
8,0.6,3.45977e-01,6.21993e-02
8,0.7,2.67722e-01,3.59173e-02
8,0.8,2.11643e-01,2.19312e-02
8,0.9,1.70776e-01,1.40579e-02
8,1.0,1.40349e-01,9.39125e-03
8,1.1,1.17207e-01,6.49734e-03
8,1.2,9.92519e-02,4.63128e-03
8,1.3,8.50711e-02,3.38674e-03
8,1.4,7.36916e-02,2.53208e-03
8,1.5,6.44301e-02,1.92999e-03
8,1.6,5.67968e-02,1.49623e-03
8,1.7,5.04344e-02,1.17750e-03
8,1.8,4.50778e-02,9.39128e-04
8,1.9,4.05268e-02,7.58035e-04
8,2.0,3.66285e-02,6.18496e-04
9,0.1,9.73000e-01,9.11707e-01
9,0.2,8.92000e-01,6.81618e-01
9,0.3,7.58325e-01,4.11918e-01
9,0.4,5.95838e-01,2.17199e-01
9,0.5,4.51432e-01,1.12886e-01
9,0.6,3.42864e-01,6.14267e-02
9,0.7,2.65181e-01,3.54671e-02
9,0.8,2.09576e-01,2.16568e-02
9,0.9,1.69080e-01,1.38830e-02
9,1.0,1.38942e-01,9.27510e-03
9,1.1,1.16024e-01,6.41745e-03
9,1.2,9.82462e-02,4.57464e-03
9,1.3,8.42066e-02,3.34551e-03
9,1.4,7.29412e-02,2.50137e-03
9,1.5,6.37729e-02,1.90667e-03
9,1.6,5.62168e-02,1.47820e-03
9,1.7,4.99190e-02,1.16335e-03
9,1.8,4.46168e-02,9.27866e-04
9,1.9,4.01121e-02,7.48963e-04
9,2.0,3.62535e-02,6.11107e-04
10,0.1,9.72727e-01,9.11055e-01
10,0.2,8.90909e-01,6.79573e-01
10,0.3,7.55982e-01,4.09263e-01
10,0.4,5.92737e-01,2.15227e-01
10,0.5,4.48451e-01,1.11718e-01
10,0.6,3.40337e-01,6.07605e-02
10,0.7,2.63116e-01,3.50765e-02
10,0.8,2.07895e-01,2.14174e-02
10,0.9,1.67700e-01,1.37298e-02
10,1.0,1.37796e-01,9.17302e-03
10,1.1,1.15060e-01,6.34705e-03
10,1.2,9.74260e-02,4.52461e-03
10,1.3,8.35013e-02,3.30903e-03
10,1.4,7.23287e-02,2.47417e-03
10,1.5,6.32365e-02,1.88597e-03
10,1.6,5.57433e-02,1.46219e-03
10,1.7,4.94980e-02,1.15077e-03
10,1.8,4.42402e-02,9.17848e-04
10,1.9,3.97733e-02,7.40887e-04
10,2.0,3.59471e-02,6.04524e-04
11,0.1,9.72500e-01,9.10497e-01
11,0.2,8.90000e-01,6.77822e-01
11,0.3,7.54033e-01,4.06991e-01
11,0.4,5.90166e-01,2.13536e-01
11,0.5,4.45982e-01,1.10713e-01
11,0.6,3.38244e-01,6.01843e-02
11,0.7,2.61404e-01,3.47371e-02
11,0.8,2.06500e-01,2.12088e-02
11,0.9,1.66555e-01,1.35958e-02
11,1.0,1.36844e-01,9.08359e-03
11,1.1,1.14259e-01,6.28526e-03
11,1.2,9.67445e-02,4.48064e-03
11,1.3,8.29150e-02,3.27692e-03
11,1.4,7.18195e-02,2.45020e-03
11,1.5,6.27904e-02,1.86773e-03
11,1.6,5.53494e-02,1.44807e-03
11,1.7,4.91478e-02,1.13966e-03
11,1.8,4.39269e-02,9.09000e-04
11,1.9,3.94914e-02,7.33751e-04
11,2.0,3.56922e-02,5.98706e-04
12,0.1,9.72308e-01,9.10014e-01
12,0.2,8.89231e-01,6.76307e-01
12,0.3,7.52386e-01,4.05028e-01
12,0.4,5.88000e-01,2.12074e-01
12,0.5,4.43904e-01,1.09841e-01
12,0.6,3.36482e-01,5.96829e-02
12,0.7,2.59963e-01,3.44410e-02
12,0.8,2.05326e-01,2.10263e-02
12,0.9,1.65590e-01,1.34784e-02
12,1.0,1.36041e-01,9.00507e-03
12,1.1,1.13584e-01,6.23094e-03
12,1.2,9.61694e-02,4.44194e-03
12,1.3,8.24202e-02,3.24865e-03
12,1.4,7.13896e-02,2.42908e-03
12,1.5,6.24137e-02,1.85164e-03
12,1.6,5.50168e-02,1.43560e-03
12,1.7,4.88521e-02,1.12986e-03
12,1.8,4.36622e-02,9.01188e-04
12,1.9,3.92532e-02,7.27448e-04
12,2.0,3.54768e-02,5.93567e-04
13,0.1,9.72143e-01,9.09592e-01
13,0.2,8.88572e-01,6.74986e-01
13,0.3,7.50976e-01,4.03317e-01
13,0.4,5.86150e-01,2.10800e-01
13,0.5,4.42131e-01,1.09079e-01
13,0.6,3.34978e-01,5.92439e-02
13,0.7,2.58733e-01,3.41812e-02
13,0.8,2.04322e-01,2.08659e-02
13,0.9,1.64765e-01,1.33750e-02
13,1.0,1.35355e-01,8.93585e-03
13,1.1,1.13006e-01,6.18301e-03
13,1.2,9.56777e-02,4.40777e-03
13,1.3,8.19970e-02,3.22366e-03
13,1.4,7.10219e-02,2.41040e-03
13,1.5,6.20914e-02,1.83741e-03
13,1.6,5.47322e-02,1.42458e-03
13,1.7,4.85990e-02,1.12118e-03
13,1.8,4.34358e-02,8.94271e-04
13,1.9,3.90494e-02,7.21867e-04
13,2.0,3.52924e-02,5.89014e-04
14,0.1,9.72000e-01,9.09221e-01
14,0.2,8.88001e-01,6.73823e-01
14,0.3,7.49755e-01,4.01813e-01
14,0.4,5.84551e-01,2.09680e-01
14,0.5,4.40600e-01,1.08409e-01
14,0.6,3.33680e-01,5.88570e-02
14,0.7,2.57670e-01,3.39517e-02
14,0.8,2.03455e-01,2.07240e-02
14,0.9,1.64052e-01,1.32835e-02
14,1.0,1.34762e-01,8.87452e-03
14,1.1,1.12507e-01,6.14051e-03
14,1.2,9.52524e-02,4.37745e-03
14,1.3,8.16309e-02,3.20148e-03
14,1.4,7.07038e-02,2.39382e-03
14,1.5,6.18126e-02,1.82477e-03
14,1.6,5.44859e-02,1.41478e-03
14,1.7,4.83800e-02,1.11347e-03
14,1.8,4.32398e-02,8.88122e-04
14,1.9,3.88731e-02,7.16905e-04
14,2.0,3.51329e-02,5.84966e-04
15,0.1,9.71875e-01,9.08892e-01
15,0.2,8.87501e-01,6.72793e-01
15,0.3,7.48688e-01,4.00482e-01
15,0.4,5.83156e-01,2.08689e-01
15,0.5,4.39264e-01,1.07815e-01
15,0.6,3.32547e-01,5.85137e-02
