E,a2
0.9412,0.480521
0.94183,0.485958
0.94899,0.565958
0.95931,0.549291
0.96204,0.465291
0.96973,0.52929
0.98243,0.43929
1.05166,0.413953
1.09155,0.389285
1.18024,0.366614
1.28851,0.342609
1.37714,0.321939
1.49507,0.301267
1.62272,0.282595
1.72122,0.25859
1.8881,0.235249
1.99603,0.221911
2.20163,0.209902
2.44628,0.199225
2.71054,0.186546
2.93555,0.178536
3.18013,0.169859
3.41486,0.163848
3.64952,0.159838
4.00146,0.155155
4.24585,0.152478
4.52924,0.152465
4.69542,0.150458
5.00813,0.150444
5.30153,0.143098
5.6827,0.141081
6.00531,0.137066
6.34757,0.129718
6.49434,0.123711
6.70928,0.125035
6.92429,0.124359
7.13938,0.121016
7.44231,0.121003
7.59873,0.118996
7.76488,0.118322
7.99949,0.115644
8.25367,0.1123
8.44915,0.110958
8.635,0.105616
8.88909,0.104938
9.07476,0.10493
9.24088,0.104923
9.43632,0.104914
9.63181,0.103572
9.84679,0.103562
10.12058,0.098217
10.50162,0.1002
10.67752,0.100192
10.8241,0.100186
11.02931,0.100176
11.1955,0.098169
11.40078,0.09616
11.53761,0.095487
11.75268,0.092811
12.06545,0.090797
12.26097,0.088122
12.45648,0.086113
12.65192,0.086104
12.90599,0.086093
13.11122,0.085417
13.27735,0.08541
13.45322,0.086069
13.71713,0.084057
14.01036,0.082044
14.22534,0.082034
14.34267,0.080029
14.49902,0.080022
