E,a2
2.5287,0.34994
2.7011,0.34018
2.931,0.3239
3.2759,0.31092
3.477,0.29463
3.7644,0.28164
3.9943,0.28169
4.2816,0.26869
4.5115,0.25894
4.6839,0.25245
4.9713,0.25251
5.1724,0.24276
5.4885,0.2363
5.8621,0.22658
6.1494,0.22011
6.3506,0.21689
6.5805,0.21694
6.8391,0.217
7.0115,0.20398
7.3851,0.20406
7.6437,0.18126
7.8161,0.18456
8.0747,0.18461
8.3333,0.18467
8.4483,0.18796
8.5632,0.18799
8.8793,0.18806
9.023,0.18809
9.2816,0.18488
9.5402,0.18493
9.7989,0.18499
10,0.18503
10.2011,0.17528
10.546,0.17536
10.8333,0.17215
11.2069,0.16897
11.523,0.1723
11.6379,0.17233
11.7816,0.17236
11.954,0.1724
12.2989,0.17574
12.4713,0.16925
12.6149,0.16601
12.8161,0.16606
13.0172,0.15957
13.1609,0.1596
13.4483,0.15966
13.7644,0.15973
13.9943,0.15978
14.2529,0.15984
14.4253,0.15987
