E,a4
0.88433,-0.498231
0.91006,-0.447464
0.91115,-0.447373
0.97578,-0.385755
1.00341,-0.357392
1.03111,-0.330984
1.04891,-0.294797
1.10514,-0.265454
1.13288,-0.240024
1.19922,-0.226328
1.27522,-0.215565
1.33178,-0.195023
1.35989,-0.180351
1.45474,-0.162741
1.54973,-0.149043
1.71174,-0.140231
1.81624,-0.125554
2.01633,-0.113805
2.09226,-0.101086
2.26346,-0.082493
2.41587,-0.072703
2.56829,-0.062913
2.6444,-0.055084
2.79689,-0.04725
2.88264,-0.042355
2.9492,-0.034527
3.05405,-0.02963
3.20647,-0.01984
3.40666,-0.011025
3.6262,-0.009055
3.77897,-0.009045
4.06544,-0.010004
4.19915,-0.010973
4.3998,-0.014872
4.62888,-0.012901
4.8579,-0.008974
5.00108,-0.007987
5.23023,-0.007972
5.45942,-0.008935
6.33781,-0.0079
6.57654,-0.008862
6.81528,-0.009825
7.0444,-0.008832
7.28313,-0.009794
7.51225,-0.008801
7.75095,-0.008786
7.98028,-0.013661
8.6868,-0.012637
8.8872,-0.00969
9.0498,-0.017503
9.36478,-0.014548
9.58438,-0.014534
9.8135,-0.013541
10.13838,-0.020366
10.35823,-0.027198
10.57784,-0.027183
10.80702,-0.028146
11.03614,-0.027153
11.25575,-0.027139
11.49445,-0.027123
11.7236,-0.027108
11.95275,-0.027094
12.18205,-0.030991
12.39228,-0.035867
12.60244,-0.038787
12.83156,-0.037794
13.05116,-0.03778
13.27077,-0.037766
13.49992,-0.037751
13.75768,-0.036756
13.84365,-0.037728
13.90094,-0.037724
